"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.959040554E2,5.058568376E1,8.694617162E0,1.835449168E2,2.889860508E0,8.134816473E1,6.683493572E0,4.490888329E0
1.969040368E2,5.058569453E1,8.694645256E0,1.838478198E2,2.588781718E0,7.184386146E1,6.656829756E0,4.498948971E0
1.979040173E2,5.058569324E1,8.694688985E0,1.840334192E2,2.606363802E0,8.167593993E1,6.609512733E0,4.407279410E0
1.989039987E2,5.058569930E1,8.694701864E0,1.844100708E2,1.919810062E0,7.493513170E1,6.437097848E0,4.341825892E0
1.999039795E2,5.058570881E1,8.694734279E0,1.838968137E2,2.111019106E0,7.328683705E1,6.411900375E0,4.272910832E0
2.009039607E2,5.058571109E1,8.694774700E0,1.841246136E2,2.511087636E0,7.361855608E1,6.298282897E0,4.304723987E0
2.019039425E2,5.058572290E1,8.694802328E0,1.833827088E2,2.347875745E0,6.872059754E1,6.234715735E0,4.246831791E0
2.029039242E2,5.058573436E1,8.694821187E0,1.841531642E2,2.177802444E0,6.092075977E1,6.217802314E0,4.175528329E0
2.039039059E2,5.058573410E1,8.694850138E0,1.845985210E2,1.992557582E0,7.125018076E1,6.100520980E0,4.033527091E0
2.049038872E2,5.058574645E1,8.694893641E0,1.844138432E2,2.565226719E0,7.017948203E1,6.029894614E0,4.071051373E0
2.059038696E2,5.058575459E1,8.694934552E0,1.835942659E2,2.768847080E0,7.291693374E1,6.050328907E0,4.105299833E0
2.069038520E2,5.058575592E1,8.694967584E0,1.844623481E2,2.539304211E0,7.513275264E1,6.014548223E0,4.068403946E0
2.079038340E2,5.058576689E1,8.694990495E0,1.848231735E2,2.222232850E0,6.951384922E1,5.992767329E0,4.046283942E0
2.089038162E2,5.058577351E1,8.695022347E0,1.839896231E2,2.195075647E0,6.684769022E1,5.974317231E0,4.000313895E0
2.099037980E2,5.058577576E1,8.695051955E0,1.839910607E2,1.985898666E0,7.032693093E1,5.974317222E0,4.016749080E0
2.109037807E2,5.058578101E1,8.695077341E0,1.841583302E2,1.860712406E0,7.210245144E1,5.877581234E0,4.006496662E0
2.119037631E2,5.058578618E1,8.695117994E0,1.833731418E2,2.396773324E0,7.526037401E1,5.810345643E0,3.975090819E0
2.129037458E2,5.058579775E1,8.695159635E0,1.834472871E2,2.809671736E0,7.103234839E1,5.647629270E0,3.783832204E0
