"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.885963625E2,5.058375884E1,8.699256629E0,1.799037246E2,2.291594053E0,1.669635956E2,4.691575343E0,3.437100207E0
1.895963461E2,5.058373828E1,8.699268125E0,1.797725823E2,2.282974453E0,1.608847229E2,4.694273870E0,3.433413734E0
1.905963312E2,5.058371707E1,8.699281269E0,1.794963486E2,2.287141683E0,1.588780902E2,4.694523370E0,3.433072583E0
1.915963179E2,5.058369472E1,8.699294011E0,1.791844527E2,2.385020035E0,1.595151673E2,4.691410177E0,3.437325644E0
1.925963039E2,5.058367694E1,8.699318767E0,1.792807367E2,2.402305893E0,1.506827791E2,4.696271514E0,3.430680822E0
1.935962911E2,5.058366001E1,8.699342910E0,1.794406093E2,2.370777778E0,1.432814968E2,4.695432261E0,3.431829384E0
1.945962772E2,5.058364623E1,8.699366789E0,1.789524194E2,2.284285661E0,1.371107951E2,4.695006156E0,3.432412304E0
1.955962639E2,5.058362890E1,8.699390806E0,1.791397234E2,2.270271815E0,1.360899437E2,4.694034379E0,3.433741149E0
1.965962510E2,5.058361627E1,8.699417106E0,1.789962179E2,2.223879443E0,1.316344186E2,4.692610205E0,3.435687194E0
1.975962379E2,5.058360225E1,8.699440897E0,1.784966167E2,2.212145768E0,1.315583374E2,4.692722923E0,3.435533234E0
1.985962247E2,5.058358961E1,8.699468437E0,1.785874277E2,2.262569852E0,1.283136779E2,4.692981096E0,3.435180558E0
1.995962107E2,5.058357789E1,8.699495468E0,1.777012089E2,2.206863603E0,1.279507947E2,4.685449013E0,3.445446935E0
2.005961988E2,5.058356692E1,8.699525056E0,1.787747494E2,2.141236505E0,1.267998179E2,4.694207586E0,3.433504358E0
2.015961858E2,5.058355901E1,8.699558335E0,1.793600978E2,2.206892847E0,1.191742247E2,4.698918177E0,3.427054857E0
2.025961777E2,5.058355113E1,8.699599578E0,1.797642593E2,2.438197762E0,1.132920334E2,4.702700612E0,3.421862649E0
2.035961605E2,5.058354407E1,8.699644901E0,1.804578306E2,2.907942113E0,1.076894807E2,4.706407799E0,3.416762015E0
2.045961486E2,5.058353955E1,8.699669740E0,1.795226913E2,2.424962625E0,1.071970843E2,4.704539326E0,3.419334258E0
2.055961366E2,5.058353451E1,8.699700536E0,1.806218545E2,2.323562101E0,1.037034505E2,4.705306964E0,3.418277842E0
2.065961232E2,5.058353086E1,8.699732498E0,1.783876110E2,2.239514172E0,1.014914916E2,4.707743966E0,3.414920758E0
2.075961108E2,5.058353029E1,8.699762863E0,1.774868121E2,2.095902375E0,9.673636561E1,4.694595505E0,3.432973941E0
2.085960997E2,5.058353535E1,8.699792302E0,1.779976246E2,1.949274448E0,8.848233130E1,4.698839365E0,3.427162916E0
2.095960871E2,5.058353551E1,8.699829776E0,1.785390198E2,2.283191903E0,8.789738581E1,4.702804332E0,3.421720101E0
2.105960745E2,5.058353781E1,8.699863339E0,1.789185388E2,2.258746471E0,8.413325776E1,4.706160977E0,3.417101973E0
