id,Run3,distance,angle,Z_1
,Run3,398,203.198590513591,160.200012207031
,Run3,399,203.198590513591,160.197006225586
,Run3,400,203.198590513591,160.190002441406
,Run3,401,123.690067526632,160.196014404297
,Run3,402,123.690067526632,160.150009155273
,Run3,403,123.690067526632,160.150009155273
,Run3,404,123.690067526632,160.135009765625
,Run3,405,123.690067526632,160.148010253906
,Run3,406,123.690067526632,160.20100402832
,Run3,407,123.690067526632,160.291000366211
,Run3,408,123.690067526632,160.238006591797
,Run3,409,123.690067526632,160.119003295898
,Run3,410,123.690067526632,160.144012451172
,Run3,411,123.690067526632,160.05500793457
,Run3,412,123.690067526632,160.050003051758
,Run3,413,123.690067526632,159.961013793945
,Run3,414,123.690067526632,159.97900390625
,Run3,415,123.690067526632,159.97900390625
,Run3,416,123.690067526632,159.905014038086
,Run3,417,123.690067526632,159.866012573242
,Run3,418,123.690067526632,159.900009155273
,Run3,419,123.690067526632,159.789001464844
,Run3,420,123.690067526632,159.813003540039
,Run3,421,123.690067526632,159.813003540039
,Run3,422,123.690067526632,159.884002685547
,Run3,423,100.539183728107,159.845001220703
,Run3,424,100.539183728107,159.744003295898
,Run3,425,100.539183728107,159.801010131836
,Run3,426,100.539183728107,159.71501159668
,Run3,427,100.539183728107,159.696014404297
,Run3,428,100.539183728107,159.777008056641
,Run3,429,100.539183728107,159.635009765625
,Run3,430,100.539183728107,159.631011962891
,Run3,431,100.539183728107,159.646011352539
,Run3,432,100.539183728107,159.630004882812
,Run3,433,100.539183728107,159.625
,Run3,434,100.539183728107,159.570007324219
,Run3,435,100.539183728107,159.586013793945
,Run3,436,100.539183728107,159.596008300781
,Run3,437,100.539183728107,159.621002197266
,Run3,438,100.539183728107,159.628005981445
,Run3,439,100.539183728107,159.63200378418
,Run3,440,100.539183728107,159.671005249023
,Run3,441,100.539183728107,159.713012695312
,Run3,442,100.539183728107,159.899002075195
,Run3,443,100.539183728107,159.810012817383
,Run3,444,100.539183728107,159.664001464844
,Run3,445,100.539183728107,159.686004638672
,Run3,446,100.539183728107,159.746002197266
,Run3,447,100.539183728107,159.70100402832
,Run3,448,100.539183728107,159.626007080078
,Run3,449,100.539183728107,159.578002929688
,Run3,450,100.539183728107,159.587005615234
,Run3,451,100.539183728107,159.605010986328
,Run3,452,100.539183728107,159.665008544922
,Run3,453,100.539183728107,159.710006713867
,Run3,454,100.539183728107,159.698013305664
,Run3,455,100.539183728107,159.698013305664
,Run3,456,100.539183728107,159.745010375977
,Run3,457,100.539183728107,159.778015136719
,Run3,458,100.539183728107,159.82600402832
,Run3,459,100.539183728107,159.800003051758
,Run3,460,100.539183728107,159.700012207031
,Run3,461,100.539183728107,159.821014404297
,Run3,462,100.539183728107,159.730010986328
,Run3,463,100.539183728107,159.828002929688
,Run3,464,100.539183728107,159.80500793457
,Run3,465,100.539183728107,159.732009887695
,Run3,466,100.539183728107,159.75
,Run3,467,100.539183728107,159.686004638672
,Run3,468,100.539183728107,159.665008544922
,Run3,469,100.539183728107,159.749008178711
,Run3,470,100.539183728107,159.731002807617
,Run3,471,100.539183728107,159.749008178711
,Run3,472,100.539183728107,159.684005737305
,Run3,473,100.539183728107,159.72900390625
,Run3,474,100.539183728107,159.764007568359
,Run3,475,100.539183728107,159.71501159668
,Run3,476,100.539183728107,159.734008789062
,Run3,477,100.539183728107,159.801010131836
,Run3,478,94.8990924547455,159.749008178711
,Run3,479,94.8990924547455,159.789001464844
,Run3,480,94.8990924547455,159.803009033203
,Run3,481,94.8990924547455,159.82600402832
,Run3,482,94.8990924547455,159.849014282227
,Run3,483,94.8990924547455,159.886001586914
,Run3,484,94.8990924547455,159.904006958008
,Run3,485,94.8990924547455,159.945007324219
,Run3,486,94.8990924547455,159.98600769043
,Run3,487,94.8990924547455,160.075012207031
,Run3,488,94.8990924547455,160.351013183594
,Run3,489,94.8990924547455,159.954010009766
,Run3,490,94.8990924547455,159.907012939453
,Run3,491,94.8990924547455,159.941009521484
,Run3,492,94.8990924547455,159.985000610352
,Run3,493,94.8990924547455,160.049011230469
